key;sentence_ja;sentence_fr;sort
友人[ゆうじん];かれ は こうこう じだい から の ゆうじん です;C'est mon vieil ami du lycée.;1518
当たる[あたる];ボールが 彼[かれ]の 頭[あたま]に 当[あ]たった。;La balle lui a frappé la tête.;1520
仲間[なかま];彼[かれ]には 仲間[なかま]がたくさんいる。;Il a beaucoup de camarade.;1521
一生[いっしょう];いっしょう の おねがい が あります;J'ai une faveur unique dans une vie.;1522
今後[こんご];今後[こんご]ともよろしくお 願[ねが]いします。;Je suis impatient de travailler avec vous dans le futur.;1523
不思議[ふしぎ];それはとても 不思議[ふしぎ]な 話[はなし]だね。;C'est une histoire très mystérieuse.;1524
全て[すべて];かれ に すべて の こと を つたえた;Je lui ai tout dit.;1526
自然[しぜん];みんな で しぜん を まもりましょう;Travaillons tous pour protéger la Nature.;1527
目的[もくてき];彼[かれ]が 来[き]た 目的[もくてき]が 分[わ]かりません。;Je ne connais pas le but de sa visite.;1528
事件[じけん];その 事件[じけん]の 犯人[はんにん]はまだ 捕[つか]まっていない。;Le responsable de l'incident n'a pas encore été arrêté.;1529
人気[にんき];このバンドはとても 人気[にんき]があるよ。;Ce groupe est très populaire.;1530
全く[まったく];わたし に は まったく わかりません;Je ne comprends pas du tout.;1531
方法[ほうほう];いい 方法[ほうほう]を 思[おも]いつきました。;Je pensais que nous avions une bonne méthode.;1532
犯人[はんにん];あいつが 犯人[はんにん]です。;Ce type est le criminel.;1537
合わせる[あわせる];日時[にちじ]はご 都合[つごう]に 合[あ]わせます。;La date peut être décidée en fonction de vos horaires.;1538
間違い[まちがい];この 文[ぶん]には 間違[まちが]いがあります。;Il ya une erreur dans cette phrase.;1539
取れる[とれる];このナスは 畑[はたけ]で 取[と]れたばかりです。;Cette aubergine vient d'être cueillie sur le terrain.;1540
一瞬[いっしゅん];一瞬[いっしゅん] 自分[じぶん]の 耳[みみ]を 疑[うたが]ったよ。;Pendant un moment, je ne pouvais pas croire ce que j'entendais.;1541
分ける[わける];おかし を みんな で わけました;Nous avons partagé les bonbons avec tout le monde.;1543
未来[みらい];未来[みらい]は 誰[だれ]にもわからない。;Personne ne connaît l'avenir.;1546
個人[こじん];これは 私[わたし] 個人[こじん]の 意見[いけん]です。;C'est mon avis personnel.;1547
大した[たいした];それは大したことはない。;Ce n'est pas grave.;1548
調子[ちょうし];体[からだ]の 調子[ちょうし]がとても 良[い]いです。;Je suis en très bonne condition physique.;1551
回す[まわす];鍵[かぎ]を 左[ひだり]に 回[まわ]すとドアが 開[ひら]きます。;Tournez la clé vers la gauche et la porte s'ouvrira.;1552
一方[いっぽう];ここ は いっぽう つうこう です;C'est une rue à sens unique.;1553
確認[かくにん];もう 一度[いちど]、 予約[よやく]を 確認[かくにん]した。;J'ai confirmé ma réservation une fois de plus.;1554
大会[たいかい];夏[なつ]には 川辺[かわべ]で 花火[はなび] 大会[たいかい]があります。;Il y aura un festival de feux d'artifice au bord de la rivière en été.;1557
苦手[にがて];私[わたし]は 料理[りょうり]が 苦手[にがて]です。;Je ne suis pas bon à cuisiner.;1558
知識[ちしき];もっと色々な知識を増やしたい。;Je souhaite approfondir mes connaissances sur diverses choses.;1560
事実[じじつ];それ は すべて じじつ です か;Est-ce que tout est vrai ?;1565
当時[とうじ];かのじょ は とうじ まだ さんさい だった;Elle n'avait que trois ans à l'époque.;1567
時期[じき];冬は一日が短く、最も寒い時期です。;Concernant l’hiver, les journées sont courtes, et c’est la période la plus froide.;1568
動かす[うごかす];部屋[へや]の 家具[かぐ]を 動[うご]かしました。;J'ai déplacé les meubles dans la pièce.;1569
本物[ほんもの];これ は ほんもの の だいやもんど です;C'est un vrai diamant.;1570
期待[きたい];みんな 私[わたし]たちに期待[きたい]しています。;Tout le monde a des attentes envers nous.;1571
方向[ほうこう];あの 人[ひと]たちは 皆[みな]、 同[おな]じ 方向[ほうこう]を 見[み]ている。;Toutes ces personnes regardent dans la même direction.;1572
変化[へんか];今年[ことし]は 変化[へんか]の 多[おお]い 年[とし]でした。;Il y a eu beaucoup de changements cette année.;1573
意外[いがい];意外にも彼は独身です。;Étonnamment, il est célibataire.;1574
一言[ひとこと];一言[ひとこと]で 言[い]えば、 彼[かれ]は 馬鹿[ばか]だと 思[おも]います。;En un mot, je pense que c'est un imbécile.;1577
付ける[つける];おまけを 付[つ]けました。;J'y ai joint un cadeau bonus.;1578
手術[しゅじゅつ];ちち は むね の しゅじゅつ を した;Mon père s'est fait opérer de la poitrine.;1579
通り[とおり];この とおり は にぎやか です ね;Cette rue est animée, n'est-ce pas ?;1580
理解[りかい];りかい して くれて ありがとう;Merci de votre compréhension.;1581
恋人[こいびと];かれ は こいびと を うしなった;Il a perdu sa petite amie.;1582
楽[らく];彼[かれ]には 楽[らく]な 仕事[しごと]が 与[あた]えられたよ。;Ils lui ont donné un travail facile.;1583
切れる[きれる];このはさみはよく 切[き]れますね。;Ces ciseaux coupent bien.;1585
分析[ぶんせき];今の経済の動きを分析しています。;J’analyse les mouvements de l’économie actuelle.;1586
立場[たちば];お 答[こた]えできる 立場[たちば]にありません。;Je ne suis pas en mesure de répondre.;1587
地下[ちか];スタジオは 地下[ちか]にあります。;Le studio est au sous-sol.;1588
事情[じじょう];あなた の 事情[じじょう] は よく わかりました;Je comprends bien votre situation.;1590
月[がつ];祭日が日曜にダブると月曜が休みになる。;Si un jour férié tombe un dimanche, le lundi devient un jour de repos.;1591
食う[くう];はらいっぱい くった;J'ai mangé avec appétit.;1595
最高[さいこう];これまで で さいこう の けっか が でた よ;J'ai obtenu mes meilleurs résultats jusqu'à présent.;1596
他[ほか];他の人はどこですか？;Où sont les autres ?;1597
絶対[ぜったい];そんな こと は ぜったい できない よ;Je ne pourrai jamais faire une telle chose.;1598
無駄[むだ];それは 時間[じかん]の 無駄[むだ]です。;C'est une perte de temps.;1600
度[たび];ある程度君の言い方は正しい。;Dans une certaine mesure, ce que vous dites est correct.;1602
先日[せんじつ];先日[せんじつ]の 件[けん]はどうなりましたか。;Qu'en est il du problème de l'autre jour ?;1603
外す[はずす];彼[かれ]はメガネを 外[はず]しました。;Il a enlevé ses lunettes.;1604
中止[ちゅうし];雨[あめ]で 運動会[うんどうかい]が 中止[ちゅうし]になったの。;L'évènement sportif a été annulé à cause de la pluie.;1605
下ろす[おろす];たな から その はこ を おろして ください;Il a déchargé les bagages de la voiture.;1607
話題[わだい];ここが 話題[わだい]のレストランです。;C'est le restaurant dont tout le monde parle.;1610
月[つき];今夜[こんや]は 月[つき]がとてもきれいです。;La lune est si belle ce soir.;1613
守る[まもる];彼[かれ]は 約束[やくそく]を 守[まも]る 人[ひと]です。;C'est une personne qui tient ses promesses.;1614
情報[じょうほう];学生[がくせい]たちはインターネットでいろいろな 情報[じょうほう]を 集[あつ]めた。;Les étudiants ont recueilli toutes sortes d'informations sur Internet.;1616
何か[なにか];郵便局[ゆうびんきょく]で 何[なに]か 忘[わす]れた。;J'ai oublié quelque chose au bureau de poste.;1618
作業[さぎょう];作業[さぎょう]するにはもっと 広[ひろ]いスペースが 必要[ひつよう]だ。;J'ai besoin d'un plus grand espace pour travailler.;1619
不安[ふあん];明日[あす]、 病院[びょういん]に 検査[けんさ]に 行[い]くので 少[すこ]し 不安[ふあん]です。;Je suis un peu inquiet parce que je dois aller à l'hôpital pour des tests demain.;1620
意識[いしき];かれ は いしき を うしないました;Il a perdu connaissance.;1621
作品[さくひん];この 絵[え]はゴッホの 作品[さくひん]だ。;Cette peinture est l'une des œuvres de Van Gogh.;1623
現実[げんじつ];現実[げんじつ]は 予想[よそう]より 厳[きび]しかった。;La réalité était plus dure que je ne m'y attendais.;1624
世話[せわ];旅行[りょこう]の 間[あいだ]、 犬[いぬ]の 世話[せわ]をしてください。;Pendant que je suis en voyage, prenez soin de mon chien SVP.;1625
無事[ぶじ];事故に遭った人の無事が確認された。;Il a été confirmé que la personne impliquée dans l'accident est saine et sauve.;1627
以来[いらい];それ 以来[いらい] 彼女[かのじょ]に 会[あ]ってない。;Je ne l'ai pas rencontrée depuis ce moment.;1628
日常[にちじょう];音楽[おんがく]は 私[わたし]の 日常[にちじょう]の 一部[いちぶ]です。;La musique fait partie de ma vie quotidienne.;1633
注目[ちゅうもく];私[わたし]たちはその 会社[かいしゃ]に 注目[ちゅうもく]している。;Nous observons cette entreprise.;1634
実行[じっこう];彼[かれ]はその 計画[けいかく]を 実行[じっこう]した。;Il a exécuté le plan.;1636
結果[けっか];試合[しあい]の 結果[けっか]を 早[はや]く 知[し]りたい。;Je veux connaître les résultats du jeu rapidement.;1637
記事[きじ];環境[かんきょう] 問題[もんだい]に 関[かん]する 記事[きじ]を 読[よ]んだの。;J'ai lu un article sur les questions environnementales.;1639
雰囲気[ふんいき];とても雰[ふん]囲[い]気[き]のいいお 店[みせ]ですね。;La boutique a une très bonne ambiance.;1640
重要[じゅうよう];これは重要[じゅうよう]な 書類[しょるい]です。;C'est un document important.;1642
起こる[おこる];まち で だいじけん が おこりました;Un incident majeur s'est produit dans la ville.;1643
実現[じつげん];夢[ゆめ]を 実現[じつげん]するには 努力[どりょく]が 必要[ひつよう]です。;Pour réaliser ses rêves, des efforts sont nécessaires.;1645
結局[けっきょく];彼[かれ]は 結局[けっきょく] 何[なに]を 言[い]いたかったのだろう。;Je me demande ce qu'il voulait dire, après tout.;1647
戻す[もどす];話[はなし]を 戻[もど]しましょう。;Revenons à ce dont nous parlions.;1651
期間[きかん];テスト 期間[きかん]は１０ 日[か]から１５ 日[にち]までだ。;La période d'examen est du 10 au 15.;1652
受け取る[うけとる];この 贈り物[おくりもの]は 受け取[うけと]れません。;Je ne peux pas accepter ce cadeau.;1654
空く[すく];レストランは 空[す]いていました。;Il n'y avait pas beaucoup de gens au restaurant.;1657
年齢[ねんれい];彼女[かのじょ]の 年齢[ねんれい]は２７です。;Elle a 27 ans.;1659
一般[いっぱん];いっぱん の かた は こちら の せき へ どうぞ;Les places générales sont par ici.;1660
命[いのち];命[いのち]より 大切[たいせつ]なものは 無[な]いよ。;Il n'y a rien de plus important que la vie.;1661
努力[どりょく];もっと 努力[どりょく]しよう。;Mettez plus d'ardeur.;1663
実験[じっけん];科学[かがく]の 授業[じゅぎょう]で 実験[じっけん]をした。;Nous avons fait une expérience en classe scientifique.;1664
成長[せいちょう];庭[にわ]の 木[き]、 大[おお]きく 成長[せいちょう]したわね。;L'arbre dans le jardin a beaucoup grandi.;1669
様々[さまざま];その 都市[とし]には 様々[さまざま]な 人種[じんしゅ]が 集[あつ]まっているわ。;La ville a divers groupes raciaux.;1670
乗せる[のせる];皿[さら]にケーキを 載[の]せました。;J'ai mis le gâteau sur une assiette.;1673
手段[しゅだん];彼は目的のためには手段を選ばなかったわね。;Il n'a pas choisi qu'un moyen pour atteindre ses objectifs, n'est-ce pas ?;1674
過ごす[すごす];夏休[なつやす]みを 高原[こうげん]で 過[す]ごしました。;J'ai passé mes vacances d'été dans les hautes terres.;1675
直接[ちょくせつ];彼[かれ]に 直接[ちょくせつ]お 願[ねが]いしなさい。;Demandez lui directement.;1676
現在[げんざい];現在[げんざい]の 気温[きおん]は３０ 度[ど]です。;La température actuelle est de 30 degrés.;1681
感動[かんどう];感動[かんどう]する 映画[えいが]でした。;C'était un film touchant.;1683
夜中[よなか];夜中[よなか]に 電話[でんわ]がありました。;J'ai reçu un coup de téléphone au milieu de la nuit.;1686
患者[かんじゃ];患者[かんじゃ]は 眠[ねむ]っています。;Le patient dort.;1687
お前[おまえ];お 前[まえ]の 言[い]うことは 信[しん]じられない。;Je ne peux pas croire ce que vous dites.;1688
金[かね];これ は かなり かね が かかった;Cela a coûté pas mal d'argent.;1689
地球[ちきゅう];地球[ちきゅう]は 丸[まる]い。;La terre est ronde.;1698
内容[ないよう];この 本[ほん]の 内容[ないよう]を 説明[せつめい]してください。;Veuillez expliquer le contenu de ce livre.;1700
存在[そんざい];神[かみ]は 存在[そんざい]すると 思[おも]いますか。;Croyez-vous que Dieu existe?;1701
表現[ひょうげん];彼[かれ]は 歌[うた]で 自分[じぶん]の 気持[きも]ちを 表現[ひょうげん]した。;Il a exprimé ses sentiments dans une chanson.;1703
失う[うしなう];彼[かれ]は 恋人[こいびと]を失[うしな]った。;Il a perdu sa petite amie.;1706
解決[かいけつ];トラブルがやっと解決[かいけつ]した。;Le problème a finalement été résolu.;1708
半年[はんとし];日本[にっぽん]に 来[き]て 半年[はんとし]になります。;Cela fait une demie-annnée que je suis arrivé au Japon.;1709
味方[みかた];私はいつも、あなたの味方です。;Je suis toujours à tes côtés.;1713
得意[とくい];得意料理はオムレツです。;Le plat que je maîtrise est l’omelette.;1714
正直[しょうじき];彼女[かのじょ]はとても正直[しょうじき]だ。;Elle est très honnête.;1716
発表[はっぴょう];合格[ごうかく] 者[しゃ]が 発表[はっぴょう]された。;Ils ont annoncé les noms de ceux qui ont passé (le test).;1717
確かめる[たしかめる];母[はは]はお 釣[つ]りを 確[たし]かめたの。;Ma mère a compté la monnaie.;1718
物語[ものがたり];寝[ね]る 前[まえ]に、 日本[にほん]の 物語[ものがたり]を 読[よ]む。;Je lis des histoires japonaises avant d'aller me coucher.;1719
頃[ころ];子供[こども]の 頃[ころ]、よくその 公園[こうえん]で 遊[あそ]んだ。;J'ai souvent joué dans ce parc quand j'étais enfant.;1720
状態[じょうたい];大雨で、この川は危険な状態だ。;À cause des fortes pluies, cette rivière est dans un état dangereux.;1725
場面[ばめん];この 場面[ばめん]は 君[きみ]が 良[よ]くない。;Vous avez tort dans ce cas.;1726
夢中[むちゅう];うちの 子[こ]はその 本[ほん]に 夢中[むちゅう]です。;Notre enfant est absorbé par ce livre.;1730
教師[きょうし];彼[かれ]は 高校[こうこう] 教師[きょうし]だ。;C'est un professeur de lycée.;1733
飛び出す[とびだす];そのスピードを 出[だ]した 車[くるま]は 道路[どうろ]に 飛び出[とびだ]した 子供[こども]を、 間一髪[かんいっぱつ]で、 避[さ]けることができた。;Un voiture à grande vitesse est soudainement apparu devant l'enfant qui a pu l'évité d'un cheveux.;1734
出会い[であい];それはドラマのような 出会[であ]いだった。;Notre rencontre ressemblait à une série télévisée.;1735
状況[じょうきょう];状況[じょうきょう]を お知[おし]らせください。;Veuillez me fournir le statut.;1736
自慢[じまん];彼女[かのじょ]はよく 自分[じぶん]の 成績[せいせき]を 自慢[じまん]するよね。;Elle se vante souvent de ses notes.;1737
知り合う[しりあう];お 二人[ふたり]はどこで 知[し]り 合[あ]ったのですか。;Où vous êtes-vous rencontrés, tous les deux ?;1738
海外[かいがい];彼[かれ]は 海外[かいがい]での 生活[せいかつ]が 長[なが]いです。;Sa vie à l'étranger est longue.;1741
信頼[しんらい];私[わたし]は 部下[ぶか]を 信頼[しんらい]しています;Je fais confiance à mes subordonnés.;1744
偉大[いだい];彼は偉大な音楽家だ。;Il est un grand musicien.;1745
認める[みとめる];彼[かれ]らはお 金[かね]を 盗[ぬす]んだことを認[みと]めました。;Ils ont admis avoir volé l'argent.;1749
断る[ことわる];私[わたし]は 彼[かれ]のプロポーズを 断[ことわ]った。;J'ai refusé sa proposition de mariage.;1752
土地[とち];ここは 父[ちち]の 土地[とち]です。;C'est la terre de mon père.;1753
空[から];雨がやんで空が明るくなった。;La pluie a cessé et le ciel s'est éclairci.;1754
幸せ[しあわせ];良[い]い 友達[ともだち]がいて 私[わたし]は 幸[しあわ]せだ。;Je suis heureux de bons amis.;1756
最中[さいちゅう];コンサートの 最中[さいちゅう]に 喋[しゃべ]るのは 無作法[ぶさほう]である。;Parler lors d'un concert est déplacé.;1757
苦しい[くるしい];食[た]べ 過[す]ぎてお 腹[なか]が苦[くる]しい。;J'ai trop mangé et j'ai mal au ventre.;1758
性格[せいかく];僕[ぼく]と 姉[あね]の 性格[せいかく]は 正反対[せいはんたい]です。;Ma sœur aînée et moi avons des personnalités complètement opposées.;1761
地方[ちほう];この地方には、自然がたくさんある。;Cette région a beaucoup de nature.;1768
正確[せいかく];彼[かれ]の 計算[けいさん]は 正確[せいかく]です。;Son calcul est exact.;1770
引っ張る[ひっぱる];むすめ が わたし の て を ひっぱった;Ma fille m'a tiré la main.;1771
何でも[なんでも];お母さんが何でもしてあげるから。;Maman ferait n'importe quoi pour toi.;1772
数[すう];今日は数人の学生が欠席した。;Plusieurs étudiants étaient absents aujourd'hui.;1775
用いる[もちいる];この 語[ご]は 今[いま]では 用[もち]いられない。;Ce mot est devenu inutilisé.;1777
追う[おう];女の子が犬を追い掛けている。;La fille est en train de courir après le chien.;1780
調査[ちょうさ];私[わたし]たちがその 問題[もんだい]を 調査[ちょうさ]しています。;Nous enquêtons sur ce problème.;1781
逆[ぎゃく];駅[えき]は 逆[ぎゃく] 方向[ほうこう]です。;La station est dans la direction opposée.;1783
売れる[うれる];今年[ことし]の 夏[なつ]はクーラーがよく 売[う]れた。;Les climatiseurs se sont bien vendus bien cet été.;1785
悪魔[あくま];今夜は悪魔と出かける気分じゃないの。;Je ne suis pas d'humeur à sortir avec le diable ce soir.;1791
許可[きょか];先生[せんせい]に 許可[きょか]をもらって 早退[そうたい]しました。;J'ai obtenu la permission du professeur et suis rentré plus tôt.;1797
前半[ぜんはん];相手[あいて]チームのリードで 前半[ぜんはん]が 終[お]わったよ。;La première mi-temps s'est terminée avec l'équipe adverse en tête.;1799
行動[こうどう];彼は娘の行動に腹を立てた。;Il était furieux du comportement de sa fille.;1800
唯一[ゆいいつ];吉田君は、会社で唯一の18歳だ。;Yoshida est le seul jeune de 18 ans dans l'entreprise.;1804
知恵[ちえ];友達に子育ての知恵をアドバイスしてもらった;J’ai reçu de mon ami des conseils de sagesse sur l’éducation des enfants.;1805
希望[きぼう];何[なに]かご 希望[きぼう]がありますか。;Y a-t-il un souhait de faire quelque chose ?;1806
殺す[ころす];わたし は いきもの を ころす の が きらい だ;Je déteste tuer des êtres vivants.;1807
次第[しだい];れんらく が あり しだい しゅっぱつ します;Je partirai dès qu'on me le dira.;1808
言わば[いわば];彼女は言わば姉のような存在です;Elle est comme une sœur pour ainsi dire.;1809
小[しょう];この はこ の しょう を ください;Veuillez me donner la petite version de cette boîte.;1810
関心[かんしん];彼[かれ]は 政治[せいじ]に 関心[かんしん]が 強[つよ]いね。;Il a un grand intérêt pour la politique.;1815
要素[ようそ];睡眠は健康の為の重要な要素である。;Le sommeil est un élément important pour une bonne santé.;1818
気に入る[きにいる];いくつかの 点[てん]で 私[わたし]は 彼女[かのじょ]が 気に入[きにい]らない。;Je ne l'aime pas à certains égards.;1820
緊張[きんちょう];その場[そのば]には 緊張[きんちょう] 感[かん]がみなぎっていた。;A cette occasion, l'air était chargé de tension.;1822
届く[とどく];昨日[きのう]、 父[ちち]から 手紙[てがみ]が 届[とど]いた。;J'ai reçu hier une lettre de mon père.;1823
掛かる[かかる];壁[かべ]に 大[おお]きな 時計[とけい]が 掛[か]かっています。;Il y a une grosse horloge accrochée au mur.;1827
生地[きじ];マリメッコの生地でクッションを作りました。;J'ai fait un coussin en tissu Marimekko.;1831
苦労[くろう];母[はは]は 苦労[くろう]して 私[わたし]たちを 育[そだ]てたの。;Notre mère a traversé des difficultés pour nous élevés.;1833
男の人[おとこのひと];私のドイツ語の先生は男の人です。;Mon professeur d'allemand est un homme.;1834
日曜[にちよう];毎週日曜日は教会に行きます。;Je vais à l'église tous les dimanches.;1835
勝ち[かち];うたがっせん は あか ぐみ の かち でした ね;L'équipe rouge a remporté le concours de chant.;1836
感じる[かんじる];膝[ひざ]に 痛[いた]みを 感[かん]じます。;Je sens une douleur dans mon genou.;1837
生命[せいめい];生命[せいめい]は 海[うみ]から 始[はじ]まったと 言[い]われている。;On dit que la vie a commencé dans la mer.;1838
物事[ものごと];あるがままに 物事[ものごと]を 見[み]るようにしなさい。;Essayez de voir les choses telles qu'elles sont.;1840
無料[むりょう];お 飲[の]み 物[もの]は 無料[むりょう]でございます。;Les boissons sont gratuites. (serveur);1843
抜く[ぬく];わいん の こるく を ぬきました;J'ai débouché le vin.;1844
共通[きょうつう];私[わたし]たちは 共通[きょうつう]の 趣味[しゅみ]を 持[も]っています。;Nous avons un hobby commun.;1845
気づく[きづく];トムの行動に気づく人はいないと思う。;Je ne pense pas que quiconque remarquera ce que fait Tom.;1846
信号[しんごう];信号[しんごう]が 青[あお]になった。;Le feu est devenu vert.;1851
平和[へいわ];この 国[くに]は 平和[へいわ]です。;Ce pays est en paix.;1854
記憶[きおく];当時[とうじ]のことはしっかり 記憶[きおく]しているよ。;Je me souviens clairement de ce qui s'est passé à cette époque.;1857
効果[こうか];この 薬[くすり]には 胃[い]を 守[まも]る効果[こうか]がある。;Ce médicament a un effet protecteur sur l'estomac.;1858
気味[きみ];とても不気味だと思った。;J'ai trouvé ça très effrayant.;1864
感心[かんしん];彼の上手い言い回しに感心した;J'ai été impressionné par ses efforts.;1868
村人[むらびと];村[むらびと]人たちは、 あの世[あのよ]があると 思[おも]っていた。;Les villageois croyaient en une vie après la mort.;1870
整理[せいり];古[ふる]い 服[ふく]を 整理[せいり]しました。;J'ai rangé les vieux vêtements.;1871
気温[きおん];今日[きょう]の 気温[きおん]は２６ 度[ど]です。;La température d'aujourd'hui est de 26 degrés.;1874
書類[しょるい];書類[しょるい]を１０ 枚[まい]コピーしました。;J'ai fait dix copies du document.;1876
優勝[ゆうしょう];彼女は昨年五つの大会で優勝した。;Elle a remporté cinq concours l'année dernière.;1877
王子[おうじ];王子は、じょうばをはじめました。;Le prince a commencé l'équitation.;1882
迷惑[めいわく];人[ひと]に 迷惑[めいわく]をかけてはいけません。;Vous ne devriez pas déranger les autres personnes.;1884
信じる[しんじる];彼[かれ]はキリストを 信[しん]じている。;Il croit en Jésus-Christ.;1890
分野[ぶんや];彼[かれ]はこの 分野[ぶんや]では 草分[くさわ]けだ。;Il est un pionnier dans ce domaine.;1891
減る[へる];体重[たいじゅう]がかなり 減[へ]りました。;J'ai perdu beaucoup de poids.;1894
目の前[めのまえ];何かを言うべき相手は僕の目の前から消え去った。;La personne à qui j'aurais dû dire quelque chose a disparu de ma vue.;1896
流す[ながす];かのじょ は なみだ を ながした ん だ;Elle a versé des larmes.;1897
数える[かぞえる];いすの 数[かず]を 数[かぞ]えてください。;Veuillez compter le nombre de chaises.;1898
更に[さらに];彼[かれ]は 更[さら]に 質問[しつもん]を 続[つづ]けたの。;Il a de nouveau posé des questions.;1899
暮らす[くらす];将来[しょうらい]は 海[うみ]の 近[ちか]くで 暮[く]らしたいな。;J'aimerais vivre au bord de la mer dans le futur.;1900
誕生[たんじょう];先月[せんげつ]、 娘[むすめ]が 誕生[たんじょう]しました。;J'ai donné naissance à une petite fille le mois dernier.;1901
誤解[ごかい];この誤解[ごかい]は 私[わたくし]のせいです。 謝[あやま]ります。;Ce malentendu est de ma faute. Je m'en excuse.;1903
都会[とかい];彼は都会での生活を楽しんでいるの。;Il profite de la vie en ville.;1910
我慢[がまん];彼[かれ]のわがままには 我慢[がまん]できません。;Je ne peux pas supporter son égoïsme.;1912
作家[さっか];彼女[かのじょ]は 有名[ゆうめい]な 作家[さっか]です。;Elle est uns écrivaine bien connu.;1913
疑問[ぎもん];彼の言葉が本当かは疑問です。;Je doute que ses paroles soient vraies.;1914
同僚[どうりょう];あの 会社[かいしゃ]の 同僚[どうりょう]はみんないい 人[ひと]だった。;Les collègues de cette entreprise sont tous de bonnes personnes.;1916
絶対に[ぜったいに];絶対[ぜったい]に 駄目[だめ]です。;Absolument pas.;1918
不満[ふまん];私は彼のやり方には不満です。;Je ne suis pas satisfait de ses méthodes.;1919
飛ばす[とばす];子供[こども]が 紙飛行機[かみひこうき]を 飛[と]ばしています。;Un enfant fait voler un avion en papier.;1926
関連[かんれん];関連[かんれん]のセクションへ 連絡[れんらく]した。;J'ai contacté le groupe de relation.;1927
双子[ふたご];友達[ともだち]に 双子[ふたご]が 生[う]まれたよ。;"Mon ami a donné naissance à des jumeaux. ; (Des jumeaux sont nés de mon ami.)";1928
電子[でんし];電子[でんし] 辞書[じしょ]はとても 便利[べんり]です。;Les dictionnaires électroniques sont très utiles.;1929
台[だい];車が一台こちらのほうへ近づいてきた。;Une voiture s'approchait de nous.;1933
命令[めいれい];彼女[かのじょ]は命令[めいれい]に 従[したが]わなかった。;Elle n'a pas obéi aux ordres.;1934
現金[げんきん];現金[げんきん]でお 願[ねが]いします。;S'il vous plaît, payez en espèces.;1941
大半[たいはん];労働者の大半は組合に属している。;La majorité des travailleurs sont syndiqués.;1943
側[そば];彼らは川の向こう側に住んでいる。;Ils habitent de l'autre côté de la rivière.;1944
急に[きゅうに];急[きゅう]に 用事[ようじ]を 思[おも]い 出[だ]した。;Je me souviens soudainement de quelque chose dont je dois m'occuper.;1950
申し込む[もうしこむ];彼女[かのじょ]はそのセミナーに 申[もう]し 込[こ]んだ。;Elle s'est inscrite à cet atelier.;1952
適切[てきせつ];彼[かれ]は 適切[てきせつ]な 言葉[ことば]で 説明[せつめい]してくれました。;Il m'a expliqué en termes appropriés.;1953
種類[しゅるい];ご存知のように日本語には文字が三種類 あります。;Comme vous le savez, il existe trois types de caractères en japonais.;1954
材料[ざいりょう];サラダの 材料[ざいりょう]をそろえました。;J'ai tous les ingrédients pour la salade.;1958
馬[うま];彼[かれ]は 田舎[いなか]で 馬[うま]に 乗[の]った。;Il a chevauché un cheval à la campagne.;1962
食欲[しょくよく];今日[きょう]は 食欲[しょくよく]がありません。;Je n'ai pas d'appétit aujourd'hui.;1964
著者[ちょしゃ];なんと私の姉もその本の著者でした。;Étonnamment, ma sœur était également l'auteur de ce livre. ;1966
証明[しょうめい];ようぎしゃ の ありばい が しょうめい されました;L'alibi du suspect a été prouvé.;1967
諦める[あきらめる];彼[かれ]は 留学[りゅうがく]の 夢[ゆめ]を 諦[あきら]めていないよ。;Il n'a pas renoncé à son rêve d'aller étudier à l'étranger.;1968
注文[ちゅうもん];レストランでピザを 注文[ちゅうもん]しました。;J'ai commandé une pizza au restaurant.;1969
歌手[かしゅ];その 歌手[かしゅ]は 歌[うた]が 下手[へた]だ。;Ce chanteur n'est pas doué pour le chant.;1971
世紀[せいき];新[あたら]しい 世紀[せいき]の 始[はじ]まりです。;C'est le début d'un nouveau siècle.;1974
集団[しゅうだん];集団旅行に参加した。;Participation à un voyage de groupe.;1977
単語[たんご];これらの 単語[たんご]を 一[ひと]つずつ 覚[おぼ]えなさい。;Apprenez ces mots, un à un.;1979
営業[えいぎょう];彼[かれ]は 営業[えいぎょう]を 担当[たんとう]しています。;Il est en charge des ventes.;1980
素敵[すてき];素敵[すてき]なプレゼントをありがとう。;Merci pour le magnifique cadeau.;1984
単純[たんじゅん];彼女は子供の様に単純だ。;Elle est simple comme un enfant.;1986
丸[まる];紙[かみ]に 大[おお]きな 丸[まる]を 描[か]きました。;J'ai dessiné un grand cercle sur le papier.;1988
学[がく];少なくとも三十人の学生が欠席した。;Au moins 30 élèves étaient absents.;1991
給料[きゅうりょう];来年[らいねん]から 給料[きゅうりょう]が 上[あ]がります。;Je recevrai une augmentation de salaire à compter de l'année prochaine.;1992
飯[めし];とにかくメシ・・・といきたいところだが、その 前[まえ]に 用を足[ようをた]すことにした。;Quoi qu'il en soit, aller déjeuner・.. C'est ce je voulais faire mais j'ai décidé d'aller aux toilettes avant.;1995
移動[いどう];その机を左へ移動してください。;Veuillez déplacer ce bureau vers la gauche.;2000
重大[じゅうだい];じゅうだい な はっぴょう が あります;J'ai une annonce importante.;2002
現象[げんしょう];村では最近、不思議な現象が起きています。;Récemment, d’étranges phénomènes se sont produits dans le village.;2004
印象[いんしょう];彼[かれ]から 良[い]い 印象[いんしょう]を 受[う]けたわ。;J'ai eu une bonne impression de lui.;2007
操作[そうさ];この 携帯[けいたい] 電話[でんわ]は 操作[そうさ]が 簡単[かんたん]です。;Ce téléphone cellulaire est facile à utiliser.;2013
