人[ひと];彼[かれ]は 優[やさ]しい 人[ひと]です。
他[た];留学生[りゅうがくせい]はアジア 人[あじあじん]が 多[おお]くその 他[そのた]は 三割[さんわり]です。
に取って[にとって];この 証拠[しょうこ]は 彼[かれ]に 取[と]って 不利[ふり]だった。
苛々[いらいら];彼女[かのじょ]は 朝[あさ]から 苛々[いらいら]している。
三十一日[さんじゅういちにち];8月[はちがつ]は 31日[さんじゅういちにち]あります。
二十一日[にじゅういちにち];3月[さんがつ]21日[にじゅういちにち]は 国際人種差別撤廃[こくさいじんしゅさべつてっぱい]デーです。
態と[わざと];彼[かれ]は 態[わざ]と 負[ま]けたように 見[み]えたな。
田[た];今[いま]は 田[た]に 水[みず]を 入[い]れる 季節[きせつ]です。
二十五日[にじゅうごにち];僕[ぼく]は 一月[いちがつ]の 二十五日[にじゅうごにち]までに 図書館[としょかん]の 本[ほん]を 返却[へんきゃく]しなければならない。
十三日[じゅうさんにち];今日[きょう]は、 二千十六年[にせんじゅうろくねん]十一月二十三日[じゅういちがつにじゅうさんにち]です。
差[さ];都心[としん]と 地方[ちほう]では 収入[しゅうにゅう]に 大[おお]きな 差[さ]があるね。
場[ば];人[ひと]によって 禁煙[きんえん]すると 体重[たいじゅう]が 増[ふ]える 場合[ばあい]がある。
どうも有難うございます[どうもありがとうございます];親切[しんせつ]にしてくださってどうも 有難[ありがとう]ございます。
従兄弟[いとこ];私[わたし]には 弁護士[べんごし]のいとこがいる。
十六日[じゅうろくにち];選挙[せんきょ]は 5月[ごがつ]16日[じゅうろくにち]に 行[おこな]われた。
十八日[じゅうはちにち];訪問客[ほうもんきゃく]は 18日[じゅうはちにち]に 来[き]て、 20日[はつか]に 発[た]つことになっている。
如何しても[どうしても];如何[どう]してもその 訳[わけ]を 知[し]りたい。
祭[まつり];祭[まつり]の 屋台[やたい]で 売[う]ってるりんごあめが 好[す]きなんです。
野[の];兎[うさぎ]が 野原[のはら]にいる。
上[じょう];地図上[ちずじょう]の 赤丸[あかまる]は 学校[がっこう]がある 場所[ばしょ]を 示[しめ]している。
場[じょう];この 型[かた]のテレビならあまり 場所[ばしょ]をとらないでしょう。
ウィスキー;このウィスキーは 強[つよ]いよ。
訳[やく];その 文[ぶん]の 訳[やく]を 読[よ]みました。
十九日[じゅうきゅうにち];二月二十九日[にがつにじゅうきゅうにち]
二十三日[にじゅうさんにち];今日[きょう]は、 二千十六年[にせんじゅうろくねん]十一月二十三日[じゅういちがつにじゅうさんにち]です。
お目出度う[おめでとう];彼[かれ]らは 先輩[せんぱい]に 昇進[しょうしん]おめでとうと 言[い]った。
二十八日[にじゅうはちにち];2月[にがつ]は 28日[にじゅうはちにち]しかない。
即ち[すなわち];彼[かれ]は 私[わたし]の 母[はは]の 弟[おとうと]の 息子[むすこ]、すなわち 従兄弟[いとこ]です。
審判[しんぱん];審判[しんぱん]の 判定[はんてい]は 間違[まちが]っていた。
二十二日[にじゅうににち];私[わたし]の 誕生日[たんじょうび]は 3月[さんがつ]22日[にじゅうににち]です。
二十七日[にじゅうしちにち];2月[にがつ]27日[にじゅうしちにち]は 一日中[いちにちじゅう]フリーよ。
案[あん];もっと 案[あん]を 出[だ]し 合[あ]いましょう。
二十九日[にじゅうきゅうにち];トムは、 2月[にがつ]29日[にじゅうきゅうにち]に 生[う]まれました。
ひと言よろしいでしょうか[ひとことよろしいでしょうか];ひと 言[ひとこと]よろしいでしょうか。
あ、行けない[あ、いけない];勉強[べんきょう]を 怠[なま]けてはいけないよ。
二十六日[にじゅうろくにち];昨日[きのう]は 2010年[にせんじゅうねん]1月26日[いちがつにじゅうろくにち]火曜日[かようび]だった。
観光案内[かんこうあんない];観光案内所[かんこうあんないじょ]はどこですか？
或いは[あるいは];運動[うんどう]をさせるか 或[ある]いは 餌[えさ]を 減[へ]らしてください。
妙[みょう];妙[みょう]な 噂[うわさ]を 耳[みみ]にした。
十七日[じゅうしちにち];この 年[とし]の 正月[しょうがつ]は 十四日[じゅうよっか]から 十七日[じゅうしちにち]まで 四日間[よっかかん]の 雪[ゆき]を 見[み]た。
遂に[ついに];彼[かれ]は 遂[つい]に 弁護士[べんごし]の 資格[しかく]を 取[と]ったよ。
所で[ところで];「 所[ところ]でよ、そのおめーのお 父[とう]さんはどこにいんのさ？」「 横転[おうてん]したトラックの 下[した]なんよ。」
の方[のほう];彼[かれ]は 海[うみ]の 方[ほう]を 向[む]いた。
御[ご];北海道[ほっかいどう]の 御出身[ごしゅっしん]ですよね。
仕舞った[しまった];彼女[かのじょ]はタオルをきれいにたたみ、それを 物入[ものい]れに 仕舞[しま]った。
一度に[いちどに];みんなの 顔[かお]と 名前[なまえ]を 一度[いちど]には 覚[おぼ]えられません。
丸で[まるで];彼[かれ]は 丸[まる]で 子供[こども]のようにはしゃいだよ。
影[かげ];窓[まど]に 男性[だんせい]の 影[かげ]が 映[うつ]っています。
数百人[すうひゃくにん];広場[ひろば]には 数百人[すうひゃくにん]の 人[ひと]がいた。
所が[ところが];所[ところ]が 計画[けいかく]は 上手[うま]くいかなかった。
気を悪く[きをわるく];お 気[き]を 悪[わる]くしたのではないですか。
有り難う[ありがとう];有[あ]り 難[がとう]う、どうぞ 頼[たの]みます。
穴[あな];靴下[くつした]に 穴[あな]が 開[あ]いている。
確か、~たと思う[たしか~たとおもう];君[きみ]に 本[ほん]を 貸[か]さなかったかね。 確[たし]かに 貸[か]したと 思[おも]うのだが。
罹る[かかる];私[わたし]の 父[ちち]は、 不眠症[ふみんしょう]にかかっている。
宜しく[よろしく];宜[よろ]しくお 願[ねが]いします。
面[めん];私[わたし]は 面倒[めんどう]なことがなくなってほっとしている。
氏[し];会長[かいちょう]は 田中氏[たなかし]に 決定[けってい]
掛かって来る[かかってくる];夕食[ゆうしょく]の 最中[さいちゅう]に 電話[でんわ]がかかってきたの。
勘[かん];女[おんな]の 勘[かん]を 甘[あま]く 見[み]てはいけません。
率[りつ];その 手術[しゅじゅつ]の 成功率[せいこうりつ]は 90%だそうです。
癖[くせ];爪[つめ]を 噛[か]む 癖[くせ]は 直[なお]した 方[ほう]がいい。
御免なさい[ごめんなさい];遅[おく]れてごめん。
玉[たま];彼[かれ]の 顔[かお]に 玉[たま]のような 汗[あせ]が 流[なが]れていたの。
端[はし];辞書[じしょ]は 本棚[ほんだな]の 端[はし]にあります。
兎に角[とにかく];兎[と]に 角[かく]現場[げんば]へ 行[い]ってみましょう。
骨[ほね];彼[かれ]は 足[あし]の 骨[ほね]を 折[お]りました。
可也[かなり];彼[かれ]はかなり 英語[えいご]が 上手[じょうず]です。
級[きゅう];彼[かれ]は 書道[しょどう]三級[さんきゅう]です。
雷[かみなり];雷[かみなり]が 鳴[な]っています。
湖[こ];湖[みずうみ]には 薄[うす]い 氷[こおり]が 張[は]っていた。
寧ろ[むしろ];彼[かれ]は 建築家[けんちくか]というより 寧[むし]ろ 芸術家[げいじゅつか]ね。
我儘[わがまま];我儘[わがまま]言[い]ってごめんね。
梅[うめ];梅[うめ]の 花[はな]が 咲[さ]きました。
ほとんど変わりませんね[ほとんどかわりませんね];ほとんど 変[か]わりませんね。
僕自身もそうだけど[ぼくじしんもそうだけど];僕[ぼく]自身[じしん]もそうだけど。
根[ね];この 木[き]の 根[ね]はとても 太[ふと]いな。
食[しょく];昨日[きのう]の 朝[あさ]は、ワッフルを 食[た]べました。
文字[もんじ];余[よ]の 辞書[じしょ]に 不可能[ふかのう]の 文字[もんじ]はない。
嫁[よめ];姉[あね]が 嫁[よめ]に 行[い]ったの。
舌[した];舌[した]を 出[だ]してください。
筋[すじ];転[ころ]んで 筋[すじ]を 痛[いた]めてしまいました。
益々[ますます];状況[じょうきょう]は 益々[ますます]悪[わる]くなったね。
五台[ごだい];体重計[たいじゅうけい]を 五台[ごだい]買[か]いました。
炎[ほのお];ろうそくの 炎[ほのお]が 部屋[へや]を 照[て]らしたんだ。
に依ると[によると];ニュースに 依[よ]ると、 地震[じしん]でした。
柄[え];この 傘[かさ]は 柄[え]が 丈夫[じょうぶ]だな。
これ等[これら];今日[きょう]はこれ 等[これら]の 問題[もんだい]について 話[はな]し 合[あ]います。
かも知れない[かもしれない];私達[わたしたち]はいつ 病気[びょうき]になるかも 知[し]れない。
印[しるし];間違[まちが]いに 印[しるし]を 付[つ]けておきました。
或[ある];或[ある]る 夕暮[ゆうぐ]れ 私[わたし]はこの 丘[おか]の 上[うえ]に 立[た]ったことがある。
課[か];今[いま]から 課[か]のミーティングがある。
訓[くん];漢字[かんじ]の 読[よ]み 方[かた]には 音[おん]と 訓[くん]の 二通[ふたとお]りがあるの。
豆[まめ];今[いま]豆[まめ]を 煮[に]ています。
輪[わ];早[はや]くこの 輪投[わな]げの 輪[わ]を 投[な]げてくださいよ！
堪らない[たまらない];頭[あたま]が 痛[いた]くて 堪[たま]らない。
嵐[あらし];嵐[あらし]で 庭[にわ]の 木[き]が 折[お]れたよ。
墓[はか];祖父[そふ]の 墓[はか]は 近[ちか]くにあります。
際[さい];非常[ひじょう]の 際[さい]は １１０番[ひゃくとおばん]すること。
虎[とら];恐[こわ]い 虎[とら]の 顔[かお]が 描[えが]かれたお 揃[そろ]いのTシャツを 着[き]たカップルが、 今[いま]目[め]の 前[まえ]を 腕[うで]を 組[く]みながら 歩[ある]いています。
幕[まく];ステージの 幕[まく]が 上[あ]がったんだ。
裸[はだか];彼[かれ]らは 裸[はだか]の 付[つ]き 合[あ]いをしているよ。
只[ただ];この 温泉[おんせん]は 只[ただ]です。
陰[かげ];陰[かげ]で 少[すこ]し 休憩[きゅうけい]しましょう。
タイプライター;母[はは]は 古[ふる]いタイプライターを 持[も]っています。
旗[はた];旗[はた]が 風[かぜ]に 揺[ゆ]れている。
株[かぶ];最近[さいきん]株[かぶ]を 始[はじ]めました。
詩[し];彼女[かのじょ]の 詩[し]は 世界中[せかいじゅう]で 有名[ゆうめい]になったんだ。
税[ぜい];これ 以上[いじょう]税[ぜい]が 上[あ]がると 生活[せいかつ]できないね。
軈て[やがて];軈[やが]て 雪[ゆき]も 止[や]むでしょう。
刀[かたな];日本[にほん]映画[えいが]で 刀[かたな]を 見[み]た。
霧[きり];霧[きり]の 深[ふか]い 夜[よる]のことでした。
霜[しも];今朝[けさ]は 庭[にわ]の 草[くさ]に 霜[しも]が 降[お]りていたの。
丘[おか];丘[おか]の 上[うえ]にホテルが 建[た]ちましたね。
巣[す];蟻[あり]は 土[つち]の 中[なか]に 巣[す]を 作[つく]ります。
堀[ほり];この 城[しろ]の 堀[ほり]はとても 深[ふか]いです。
九[く];私[わたし]は 九月[くがつ]に 行[い]く 予定[よてい]です。
翼[つばさ];付[つ]けたい 翼[つばさ]を 選[えら]んで 下[くだ]さいね。
可[か];ここは 食[た]べ 物[もの]は 持[も]ち 込[こ]み 不可[ふか]です。
塀[へい];猫[ねこ]が 塀[へい]の 上[うえ]で 寝[ね]ているぞ。
縄[なわ];枝[えだ]を 縄[なわ]で 縛[しば]ったよ。
芽[め];チューリップの 芽[め]が 出[で]ました。
弾[たま];彼[かれ]はピストルに 弾[たま]を 込[こ]めたんだ。
鎖[くさり];犬[いぬ]を 鎖[くさり]で 繋[つな]ぎました。
等[など];人々[ひとびと]はより 多[おお]くの 自由[じゆう]と 平等[びょうどう]を 求[もと]める。
拡がる[ひろがる];薄暗[うすぐら]い 部屋[へや]の 床[ゆか]に、 血[ち]が 静[しず]かに 拡[ひろ]がっていった。
終に[ついに];その 仕事[しごと]を 終[お]えるのは 君[きみ]の 義務[ぎむ]だ。
灯[ひ];部屋[へや]の 天井[てんじょう]には 電灯[でんとう]が 吊[つ]られていない。
沖[おき];沖[おき]に 小島[こじま]が 見[み]えます。
関心を持つ[かんしんをもつ];私達[わたしたち]はもっと 環境問題[かんきょうもんだい]に 関心[かんしん]を 持[も]つべきです。
若しも[もしも];若[も]しもがんの 宣告[せんこく]を 受[う]けたらどうしますか。
恩[おん];この 御恩[ごおん]は 一生[いっしょう]忘[わす]れません。
笛[ふえ];彼[かれ]は 笛[ふえ]を 吹[ふ]くのが 上手[うま]いね。
稲[いね];日本[にっぽん]は 稲[いね]の 品種[ひんしゅ]が 多[おお]いよ。
位[い];今年[ことし]は 何位[なんい]だろう？
器械[きかい];体育館[たいいくかん]で 器械[きかい]を 使[つか]って 運動[うんどう]したの。
選択する[せんたくする];この 5種類[しゅるい]から 選択[せんたく]できます。
或る[ある];君[きみ]に 或[ある]る 物[もの]を 見[み]せましょう。
頻りに[しきりに];彼[かれ]は 頻[しき]りに 時計[とけい]を 気[き]にしていた。
愛してる[あいしてる];トムのこと 愛[あい]してるの？
二台[にだい];どうして 携帯[けいたい]を 二台[にだい]持[も]っているんですか。
偖[さて];偖[さて]、 順番[じゅんばん]に 並[なら]べましたか。
凡ゆる[あらゆる];凡[あら]ゆる 生[い]き 物[もの]を 大切[たいせつ]にしなさい。
其のまま[そのまま];居心地[いごこち]が 悪[わる]くて 帰[かえ]りたかったけど、そのまま 残[のこ]ったよ。
其れと[それと];それと 反対[はんたい]の 証拠[しょうこ]がないので、みんなは 彼[かれ]の 話[はなし]を 信[しん]じている。
釣[つり];私達[わたしたち]は 湖[みずうみ]へ 釣[つ]りに 行[い]った。
曇[くもり];空[そら]はすっかり 曇[くも]った。
平気[へいき];彼女[かのじょ]は 平気[へいき]な 顔[かお]をしていた。
一応[いちおう];彼[かれ]にも 一応[いちおう]知[し]らせておいたほうがいいだろう。
空間[くうかん];狭[せま]い 空間[くうかん]に 物[もの]がたくさん 置[お]いてあるね。
分かれる[わかれる];グループの 中[なか]で 意見[いけん]が 分[わ]かれました。
本来[ほんらい];彼女[かのじょ]はプレッシャーから 解放[かいほう]されて 本来[ほんらい]の 自分[じぶん]に 戻[もど]ったな。
手前[てまえ];駅[えき]の 手前[てまえ]に 郵便局[ゆうびんきょく]があります。
前後[ぜんご];そちらに 着[つ]くのは 六時[ろくじ]前後[ぜんご]です。
一定[いってい];国民総生産[こくみんそうせいさん]は 一定[いってい]の 期間[きかん]における 一国[いっこく]の 財[ざい]及[およ]びサービスを 貨幣価値[かへいかち]で 計[はか]った 総生産高[そうせいさんだか]である。
目指す[めざす];私[わたし]は 料理人[りょうりにん]を 目指[めざ]しています。
無視[むし];クラスの 友達[ともだち]から 無視[むし]された。
勝負[しょうぶ];勝負[しょうぶ]はまだ 始[はじ]まったばかりよ。
生える[はえる];息子[むすこ]に 新[あたら]しい 歯[は]が 生[は]えました。
後輩[こうはい];彼[かれ]は 私[わたし]より ３年[ねん]後輩[こうはい]です。
取り出す[とりだす];彼[かれ]はポケットから 財布[さいふ]を 取[と]り 出[だ]したの。
一旦[いったん];疲[つか]れたでしょう。 一旦[いったん]休[やす]みましょう。
配る[くばる];会議[かいぎ]で 書類[しょるい]を 配[くば]った。
切っ掛け[きっかけ];大学[だいがく]に 通[かよ]うのが 上京[じょうきょう]の 切[き]っ 掛[か]けでした。
動作[どうさ];彼[かれ]は 動作[どうさ]が 機敏[きびん]です。
上下[じょうげ];この 服[ふく]は 上下[じょうげ]セットで 買[か]いました。
方針[ほうしん];方針[ほうしん]は ２つの 意見[いけん]の 間[あいだ]をあれこれとぐらついた。
伝わる[つたわる];漢字[かんじ]は 中国[ちゅうごく]から 伝[つた]わった。
手続き[てつづき];入国[にゅうこく]手続[てつづ]きが 終[お]わりました。
流行る[はやる];去年[きょねん]はスニーカーが 流行[はや]りました。
明日[みょうにち];明日[みょうにち]会議[かいぎ]を 開[ひら]きます。
当日[とうじつ];入場券[にゅうじょうけん]は 当日[とうじつ]でも 買[か]えますよ。
感想[かんそう];ご 感想[かんそう]をお 聞[き]かせください。
社員[しゃいん];彼[かれ]は 優秀[ゆうしゅう]な 社員[しゃいん]です。
見直す[みなおす];彼[かれ]のことを 見直[みなお]しました。
呼び出す[よびだす];親[おや]が 学校[がっこう]に 呼[よ]び 出[だ]されたんだ。
体制[たいせい];兵士達[へいしたち]は 厳戒体制[げんかいたいせい]にあった。
関わる[かかわる];医師[いし]は 人[ひと]の 命[いのち]に 関[かか]わる 大切[たいせつ]な 職業[しょくぎょう]だよ。
登場[とうじょう];彼女[かのじょ]の 登場[とうじょう]で 会場[かいじょう]は 盛[も]り 上[あ]がったね。
集合[しゅうごう];七時五分[しちじごふん]に 駅[えき]で 集合[しゅうごう]しましょう。
平日[へいじつ];彼[かれ]は 平日[へいじつ]がお 休[やす]みです。
終了[しゅうりょう];コンサートは 夜[よる]七時五分[しちじごふん]に 終了[しゅうりょう]しました。
実感[じっかん];子供[こども]が 歩[ある]き 始[はじ]めたとき 子供[こども]の 成長[せいちょう]を 実感[じっかん]した。
全身[ぜんしん];運動[うんどう]した 翌日[よくじつ]は 全身[ぜんしん]の 筋肉[きんにく]が 痛[いた]い。
お願いします[おねがいします];お 願[ねが]いがあります。
出来上がる[できあがる];この 家[いえ]は 来年[らいねん]出来上[できあ]がります。
重ねる[かさねる];荷物[にもつ]はここに 重[かさ]ねてください。
特定[とくてい];警察[けいさつ]は 犯人[はんにん]を 特定[とくてい]したらしいよ。
成立[せいりつ];あの 会社[かいしゃ]との 契約[けいやく]が 成立[せいりつ]しました。
指定[してい];指定[してい]された 席[せき]にお 座[すわ]りください。
大して[たいして];彼[かれ]は 大[たい]して 嬉[うれ]しそうには 見[み]えなかったよね。
第一[だいいち];私[わたし]には 仕事[しごと]が 第一[だいいち]です。
気の毒[きのどく];彼[かれ]らは 気[き]の 毒[どく]な 生活[せいかつ]をしている。
回転[かいてん];彼[かれ]はボールに 回転[かいてん]をかけたんだ。
直後[ちょくご];食[た]べた 直後[ちょくご]に 寝[ね]ないほうがいいよ。
確率[かくりつ];天気予報[てんきよほう]は 当[あ]たる 確率[かくりつ]が 高[たか]くなりましたね。
実力[じつりょく];二人[ふたり]の 実力[じつりょく]は 互角[ごかく]です。
手入れ[ていれ];母[はは]は 庭[にわ]の 手入[てい]れをしています。
行事[ぎょうじ];メグは 学校[がっこう]のいろいろな 行事[ぎょうじ]に 参加[さんか]する。
見送る[みおくる];彼[かれ]が 外国[がいこく]に 行[い]くのを 見送[みおく]りました。
思い切り[おもいきり];カラオケで 思[おも]い 切[き]り 歌[うた]ったの。
折角[せっかく];折角[せっかく]来[き]たんだからゆっくりしていきなさい。
下る[くだる];小[ちい]さな 船[ふね]が 川[かわ]を 下[くだ]っています。
隙間[すきま];二台[にだい]の 自販機[じはんき]の 隙間[すきま]に、 小銭[こぜに]が 2- 3枚[まい]落[お]ちているのを 見[み]つけました。
出入り[でいり];彼[かれ]の 家[いえ]は 人[ひと]の 出入り[でいり]が 多[おお]いね。
飛び込む[とびこむ];蛙[かえる]が 池[いけ]に 飛[と]び 込[こ]んだね。
追加[ついか];オーダーを 追加[ついか]しました。
余計[よけい];余計[よけい]なことを 言[い]っては 駄目[だめ]よ。
回数[かいすう];最近[さいきん]はテレビを 見[み]る 回数[かいすう]が 減[へ]りました。
強化[きょうか];国[くに]は 国語[こくご]教育[きょういく]を 強化[きょうか]しています。
打ち合わせ[うちあわせ];午後[ごご]に 打[う]ち 合[あ]わせをしましょう。
一通り[ひととおり];説明書[せつめいしょ]を 一通[ひととお]り 読[よ]んだの。
分解[ぶんかい];機械[きかい]を 分解[ぶんかい]してみたの。
受験[じゅけん];日本語[にほんご]能力[のうりょく]試験[しけん]を 受験[じゅけん]したんだ。
解放[かいほう];人質[ひとじち]が 解放[かいほう]されてよかった。
日程[にってい];試験[しけん]の 日程[にってい]が 発表[はっぴょう]されました。
分類[ぶんるい];これらの 本[ほん]を 分類[ぶんるい]してください。
言い出す[いいだす];突然[とつぜん]何[なに]を 言[い]い 出[だ]すのかと 思[おも]った。
高める[たかめる];自分[じぶん]を 高[たか]めるのは 大切[たいせつ]なことです。
付近[ふきん];事件[じけん]現場[げんば]付近[ふきん]で 怪[あや]しい 人物[じんぶつ]を 見[み]た。
中間[ちゅうかん];その 二[ふた]つの 町[まち]の 中間[ちゅうかん]には 川[かわ]が 流[なが]れているの。
特殊[とくしゅ];彼[かれ]は 特殊[とくしゅ]な 能力[のうりょく]を 持[も]っています。
学年[がくねん];彼[かれ]は 私[わたし]より 一[ひと]学年[がくねん]上[うえ]です。
工夫[くふう];色々[いろいろ]工夫[くふう]して 仕事[しごと]をやり 遂[と]げたさ。
死体[したい];公園[こうえん]で 死体[したい]が 見[み]つかったの。
勿体ない[もったいない];食[た]べ 物[もの]を 残[のこ]しては 勿体[もったい]ないわよ。
段階[だんかい];この 段階[だんかい]では 決断[けつだん]するのはまだ 早[はや]い。
湯気[ゆげ];薬缶[やかん]から 湯気[ゆげ]が 出[で]ていますよ。
高度[こうど];高度[こうど]な 技術[ぎじゅつ]を 持[も]つ 人材[じんざい]を 集[あつ]めました。
増やす[ふやす];あの 町[まち]は 緑[みどり]を 増[ふ]やしています。
見本[みほん];見本[みほん]はこちらにございます。
引き受ける[ひきうける];新[あたら]しい 仕事[しごと]を 引[ひ]き 受[う]けたよ。
一流[いちりゅう];さすが、 一流[いちりゅう]のピアニストは 違[ちが]うね。
強引[ごういん];友人[ゆうじん]の 強引[ごういん]な 誘[さそ]いを 断[ことわ]れませんでした。
知人[ちじん];彼[かれ]は 昔[むかし]からの 知人[ちじん]です。
神様[かみさま];神様[かみさま]にお 願[ねが]いしました。
女房[にょうぼう];女房[にょうぼう]は 実家[じっか]に 帰[かえ]っています。
取り入れる[とりいれる];彼[かれ]は 新[あたら]しいアイデアをすぐ 取[と]り 入[い]れます。
いつの間にか[いつのまにか];いつの 間[ま]にか 夜[よ]が 明[あ]けていたね。
解説[かいせつ];新聞[しんぶん]の 解説[かいせつ]欄[らん]を 読[よ]みました。
先程[さきほど];その 件[けん]でしたら 先程[さきほど]上司[じょうし]から 許可[きょか]を 得[え]ております。
体操[たいそう];兄[あに]は 体操[たいそう]の 選手[せんしゅ]です。
放る[ほうる];ボールを 空中[くうちゅう]に 放[ほう]ったの。
乾杯[かんぱい];お 二人[ふたり]の 未来[みらい]に 乾杯[かんぱい]しましょう。
一斉[いっせい];生徒達[せいとたち]は 一斉[いっせい]に 温度計[おんどけい]に 目[め]をやりました。
含める[ふくめる];私[わたし]を 含[ふく]めて 10人[にん]が 参加[さんか]しました。
面接[めんせつ];新[あたら]しい 仕事[しごと]の 面接[めんせつ]に 行[い]ってきました。
見出し[みだし];新聞[しんぶん]の 見出[みだ]しが 彼[かれ]の 目[め]を 引[ひ]いたんだ。
広げる[ひろげる];電車[でんしゃ]の 中[なか]では 新聞[しんぶん]を 広[ひろ]げないで。
年度[ねんど];売上[うりあげ]は 年度[ねんど]によって 違[ちが]います。
応援[おうえん];大勢[おおぜい]が 応援[おうえん]に 駆[か]けつけてくれたよ。
重なる[かさなる];高速[こうそく]道路[どうろ]で 事故[じこ]が 重[かさ]なった。
活躍[かつやく];彼[かれ]の 活躍[かつやく]で 優勝[ゆうしょう]したよ。
重たい[おもたい];この 鞄[かばん]は 重[おも]たいです。
方面[ほうめん];沖縄[おきなわ]方面[ほうめん]にお 出[で]かけの 方[かた]は 台風[たいふう]にご 注意[ちゅうい]ください。
液体[えきたい];洗濯[せんたく]に 液体[えきたい]の 洗剤[せんざい]を 使[つか]っています。
繋がる[つながる];電話[でんわ]が 繋[つな]がりません。
過程[かてい];プログラムの 過程[かてい]に 問題[もんだい]があるの。
行列[ぎょうれつ];店[みせ]の 前[まえ]に 長[なが]い 行列[ぎょうれつ]ができていますよ。
空中[くうちゅう];蝶々[ちょうちょう]が 空中[くうちゅう]を 舞[ま]っています。
高級[こうきゅう];私達[わたしたち]は 高級[こうきゅう]ホテルに 泊[と]まったの。
性質[せいしつ];この 犬[いぬ]は 穏[おだ]やかな 性質[せいしつ]だよ。
寄せる[よせる];車[くるま]を 塀[へい]に 寄[よ]せたよ。
教わる[おそわる];私[わたし]は 両親[りょうしん]から 多[おお]くを 教[おそ]わりました。
夕日[ゆうひ];夕日[ゆうひ]が 西[にし]の 空[そら]に 沈[しず]んだね。
無限[むげん];資源[しげん]は 無限[むげん]ではありません。
生意気[なまいき];あの 子[こ]は 生意気[なまいき]だと 思[おも]います。
実績[じっせき];彼[かれ]は 営業[えいぎょう]で 実績[じっせき]を 上[あ]げたんだ。
反省[はんせい];彼[かれ]は 十分[じゅうぶん]反省[はんせい]しています。
相変わらず[あいかわらず];彼[かれ]は 相変[あいか]わらず 忙[いそが]しいですね。
背[せい];彼[かれ]の 家族[かぞく]はみな 背[せ]が 高[たか]い。
広場[ひろば];広場[ひろば]に 子供[こども]がたくさん 集[あつ]まっていたよ。
逃がす[にがす];釣[つ]った 魚[さかな]を 逃[にが]しました。
巻く[まく];庭[にわ]に 花[はな]の 種[たね]を 蒔[ま]きました。
長引く[ながびく];会議[かいぎ]が 長引[ながび]いているようです。
映る[うつる];水面[みなも]に 月[つき]が 映[うつ]っているね。
役目[やくめ];私[わたし]は 無事[ぶじ]に 役目[やくめ]を 終[お]えたよ。
先端[せんたん];棒[ぼう]の 先端[せんたん]を 持[も]ってください。
親指[おやゆび];彼[かれ]は 私[わたし]の 顔[かお]を 指先[ゆびさき]でぽんとはじいた。
拭く[ふく];タオルで 体[からだ]を 拭[ふ]きました。
通知[つうち];明日[あす]、 詳細[しょうさい]を 通知[つうち]します。
余る[あまる];夕食[ゆうしょく]の 料理[りょうり]がたくさん 余[あま]った。
本部[ほんぶ];その 事件[じけん]の 直後[ちょくご]、 捜査[そうさ]本部[ほんぶ]が 設置[せっち]された。
毎度[まいど];毎度[まいど]ありがとうございます。
各地[かくち];私[わたし]はイギリス 各地[かくち]を 見物[けんぶつ]した。
少なくとも[すくなくとも];この 仕事[しごと]には 少[すく]なくとも 二週間[にしゅうかん]必要[ひつよう]でしょう。
解散[かいさん];来年[らいねん]衆議院[しゅうぎいん]が 解散[かいさん]されるだろう。
話し合い[はなしあい];プロジェクトメンバーと 話し 合[はなしあ]いをしたの。
刺す[さす];虫[むし]に 腕[うで]を 刺[さ]されました。
狙う[ねらう];来年[らいねん]は 優勝[ゆうしょう]を 狙[ねら]います。
点数[てんすう];今回[こんかい]はテストの 点数[てんすう]が 悪[わる]かった。
接近[せっきん];台風[たいふう]が 接近[せっきん]していますね。
案外[あんがい];彼[かれ]は 案外[あんがい]いい 人[ひと]かもしれない。
正面[しょうめん];その 家[いえ]の 正面[しょうめん]には 大[おお]きなバルコニーがあるの。
周辺[しゅうへん];この 周辺[しゅうへん]には 大学[だいがく]が 多[おお]い。
間隔[かんかく];電車[でんしゃ]は 五分[ごふん]間隔[かんかく]で 来[き]ますよ。
楽器[がっき];私[わたし]が 好[す]きな 楽器[がっき]はギターです。
構造[こうぞう];この 建物[たてもの]の 構造[こうぞう]は 複雑[ふくざつ]です。
意義[いぎ];この 事業[じぎょう]には 大[おお]きな 意義[いぎ]があります。
上級[じょうきゅう];彼[かれ]は 上級[じょうきゅう]のコースに 上[あ]がったよ。
追いかける[おいかける];田中[たなか]さんは 山田[やまだ]さんのことが 大好[だいす]きで、 毎日[まいにち]追[お]いかけています。
統一[とういつ];文字[もじ]の 大[おお]きさは 統一[とういつ]してください。
近寄る[ちかよる];彼[かれ]に 近寄[ちかよ]らないで。
名字[みょうじ];あなたの 名字[みょうじ]は 何[なん]ですか。
各自[かくじ];ごみは 各自[かくじ]で 持[も]ち 帰[かえ]ってください。
以後[いご];すみません 以後[いご]気[き]をつけます。
作者[さくしゃ];この 本[ほん]の 作者[さくしゃ]は 誰[だれ]ですか。
延長[えんちょう];国会[こっかい]の 会期[かいき]が 延長[えんちょう]されたわね。
方言[ほうげん];彼[かれ]は 方言[ほうげん]で 話[はな]します。
別々[べつべつ];別々[べつべつ]に 払[はら]いましょう。
手首[てくび];手首[てくび]の 関節[かんせつ]をひねっちゃった。
着せる[きせる];娘[むすめ]にかわいいドレスを 着[き]せた。
