人[ひと];彼[かれ]は 優[やさ]しい 人[ひと]です。
何[なん];質問[しつもん]は 何[なん]ですか。
見る[みる];私[わたし]は 絵[え]を 見[み]るのが 好[す]きです。
何[なに];この 学生[がくせい]は 何[なに]を 書[か]きましたか。
言う[いう];課長[かちょう]は「 一杯[いっぱい] 飲[の]みましょう」と 言[い]った。
今[いま];父[ちち]は 今[いま]テレビを 見[み]ている。
一[いち];一時[いちじ]です。
一人[ひとり];私[わたし]は 一人[ひとり]で 公園[こうえん]を 散歩[さんぽ]しました。
二人[ふたり];今日[きょう]は 妻[つま]と 二人[ふたり]で 食事[しょくじ]をします。
今日[きょう];今日[きょう]は 仕事[しごと]がありません。
行く[いく];タクシーで 病院[びょういん]に 行[い]った。
出る[でる];今朝[けさ]は 早[はや]く 家[いえ]を 出[で]ました。
分かる[わかる];質問[しつもん]の 意味[いみ]は 分[わ]かりましたか。
大きい[おおきい];あの 大[おお]きい 建物[たてもの]は 何[なん]ですか。
私[わたし];私[わたし]が 行[い]きましょう。
来る[くる];彼[かれ]は 昼過[ひるす]ぎに 来[き]ます。
言葉[ことば];この 言葉[ことば]の 意味[いみ]が 分[わ]かりません。
出す[だす];猫[ねこ]を 外[そと]に 出[だ]した？
一番[いちばん];冬[ふゆ]は 私[わたし]の 一番[いちばん] 好[す]きな 季節[きせつ]です。
見せる[みせる];その 写真[しゃしん]を 見[み]せてください。
時間[じかん];5時間[じかん] 海[うみ]にいました。
大丈夫[だいじょうぶ];大丈夫[だいじょうぶ]ですか。
出来る[できる];駅[えき]の 前[まえ]に 大[おお]きいスーパーが 出来[でき]ました。
大きな[おおきな];大[おお]きな 家[いえ]に 住[す]みたい。
入る[はいる];寒[さむ]いので 中[なか]に 入[はい]ってください。
本[ほん];本[ほん]がある。
日本[にほん];日本[にほん]は 中国[ちゅうごく]に 近[ちか]い。
入れる[いれる];鞄[かばん]に 本[ほん]を 入[い]れます。
方[かた];次[つぎ]の 方[かた]どうぞ。
話す[はなす];母[はは]と 電話[でんわ]で 話[はな]しました。
会う[あう];また 会[あ]いましょう。
仕事[しごと];3月[さんがつ]は 仕事[しごと]が 忙[いそが]しい。
昨日[きのう];昨日[きのう]メアリーが 買[か]ったのは 何[なん]ですか。
聞く[きく];彼女[かのじょ]はラジオを 聞[き]いています。
私[わたくし];私[わたくし]もです！
大切[たいせつ];これは 母[はは]が 大切[たいせつ]にしていた 指輪[ゆびわ]です。
物[もの];フランスではナイフとフォークで 食[た]べるものだ。
大好き[だいすき];私[わたし]は 犬[いぬ]が 大好[だいす]きだ。
一日[いちにち];昨日[きのう]は 一日[いちにち]テストの 勉強[べんきょう]をしていました。
後[あと];仕事[しごと]の 後[あと] 映画[えいが]を 見[み]た。
取る[とる];テストでいい 点[てん]を 取[と]った。
同じ[おなじ];彼[かれ]の 日本語[にほんご]のレベルは 私[わたし]と 同[おな]じくらいだ。
一緒[いっしょ];一緒[いっしょ]に 食事[しょくじ]しようか。
作る[つくる];今[いま] 朝[あさ]ご 飯[はん]を 作[つく]っています。
病気[びょうき];祖父[そふ]が 病気[びょうき]になった。
半分[はんぶん];お 菓子[かし]を 友達[ともだち]に 半分[はんぶん]あげた。
部屋[へや];私[わたし]の 部屋[へや]は2階[にかい]にあります。
先[さき];お 先[さき]にどうぞ。
切る[きる];この 紙[かみ]を 半分[はんぶん]に 切[き]ってください。
間[かん];1時間半[いちじかんはん]かかりますよ。
預ける[あずける];鍵[かぎ]を 彼[かれ]に 預[あず]けた;Je lui ai donné la clé pour qu'il s'en occupe.;2388
料金[りょうきん];まだ 料金[りょうきん]は 払[はら]っていないけど;Mais je n'ai pas encore payé la facture.;2389
積極的[せっきょくてき];姉[あね]は 何[なに]に 対[たい]しても 積極的[せっきょくてき]です;Ma sœur aînée est positive à propos de tout.;2390
日光[にっこう];この 部屋[へや]は 日光[にっこう]が よく 当[あ]たるね;Cette pièce reçoit beaucoup de soleil.;2391
働き[はたらき];部下[ぶか]が 素晴[すば]らしい 働[はたら]きをしたな;Mes subordonnés ont fait un travail fantastique.;2392
吐く[はく];彼[かれ]は 乱暴[らんぼう]な 言葉[ことば]を 吐[は]いたぞ;Il a crié des mots durs.;2395
棒[ぼう];この 棒[ぼう]は 何[なに]に 使[つか]うのですか;A quoi sert ce bâton ?;2397
支払う[しはらう];カウンターで 料金[りょうきん]を 支払[しはら]った;J'ai payé les frais au guichet.;2398
模様[もよう];彼女[かのじょ]は 水玉模様[みずたまもよう]の スカートを 履[は]いているね;Elle porte une jupe à pois.;2400
震える[ふるえる];彼[かれ]は 寒[さむ]くて 震[ふる]えていました;Il avait froid et tremblait.;2401
陽気[ようき];彼女[かのじょ]は とても 陽気[ようき]です;Elle est très gaie.;2408
額[がく];写真[しゃしん]を 額[がく]に 入[い]れて 飾[かざ]ったんだ;J'ai mis la photo dans un cadre et je l'ai accrochée.;2411
万一[まんいち];万一[まんいち]のために 保険[ほけん]に 入[はい]ったの;J'ai souscrit une assurance pour les urgences.;2412
増す[ます];大雨[おおあめ]で 川[かわ]の 水嵩[みずかさ]が 増[ま]しているな;La rivière grossit à cause de l'averse.;2415
述べる[のべる];上司[じょうし]が 意見[いけん]を 述[の]べた;Notre patron nous a donné son avis.;2418
尊敬[そんけい];祖父[そふ]は 家族[かぞく]みんなに 尊敬[そんけい]されています;Mon grand-père est respecté par toute la famille.;2420
順[じゅん];あいうえお 順[じゅん]に 並[なら]べてください;Veuillez vous aligner dans l'ordre du syllabaire japonais.;2421
サイン;ここにサインしてください;Signez ici s'il vous plait.;2523
就職[しゅうしょく];最近[さいきん]若[わか]い人[ひと]たちの就職[しゅうしょく]が難[むずか]しくなっています;Il a été difficile pour les jeunes de trouver un emploi ces derniers temps.;2524
連れ[つれ];彼女[かのじょ]は私[わたし]の連[つ]れです;Elle est avec moi.;2525
欠ける[かける];このコップ欠[か]けてる。;Ce verre est ébréché.;2529
鋭い[するどい];鋭[するど]い刃物[はもの]で指[ゆび]を怪我[けが]した;Je me suis blessé le doigt avec le couteau pointu.;2530
球[きゅう];彼[かれ]は球技[きゅうぎ]が大好[だいす]きです;Il adore les jeux de ballon.;2532
高価[こうか];彼女[かのじょ]は高価[こうか]な宝石[ほうせき]を持[も]っているわ;Elle a des bijoux coûteux.;2533
容易[ようい];彼[かれ]はその問題[もんだい]を容易[ようい]に解決[かいけつ]したわ;Il a facilement résolu le problème.;2535
共に[ともに];最後[さいご]まで共[とも]に頑張[がんば]りましょう;Faisons de notre mieux jusqu'au bout.;2536
保存[ほぞん];データを30分[ぷん]おきに保存[ほぞん]してください;Veuillez sauvegarder les données toutes les 30 minutes.;2537
畑[はたけ];母[はは]は畑仕事[はたけしごと]が好[す]きだ;Ma mère aime travailler sur le terrain.;2538
比較[ひかく];去年[きょねん]の売上[うりあげ]と比較[ひかく]しましょう;Comparons-le avec les ventes de l'année dernière.;2541
至る[いたる];ようやく結論[けつろん]に至[いた]ったようね;Il semblait que nous étions enfin parvenus à une conclusion.;2542
譲る[ゆずる];上司[じょうし]が車[くるま]を譲[ゆず]ってくれたの;Mon patron m'a donné sa voiture.;2543
国語[こくご];今日[きょう]の一時間目[いちじかんめ]は国語[こくご]です;La première classe aujourd'hui est le japonais.;2544
長期[ちょうき];今度[こんど]の出張[しゅっちょう]は長期[ちょうき]の予定[よてい]だ。;Ce voyage d'affaires est prévu depuis longtemps.;2545
座席[ざせき];飛行機[ひこうき]の座席[ざせき]はゆったりしていたよ;Le siège de l'avion était spacieux.;2546
板[いた];父[ちち]は長[なが]い板[いた]を買[か]ってきたんだ;Mon père a acheté une longue planche.;2548
効く[きく];この薬[くすり]はあまりよく効[き]かないよ;Ce médicament ne fonctionne pas très bien.;2552
学問[がくもん];彼[かれ]は少年[しょうねん]の頃[ころ]から学問[がくもん]が好[す]きでした;Il aimait apprendre depuis qu'il était tout petit.;2554
占める[しめる];私[わたし]に届[とど]くメールのうち迷惑[めいわく]メールが七割[ななわり]を占[し]めている;Environ 70 % des e-mails qui me sont envoyés sont des pourriels.;2557
中古[ちゅうこ];その車[くるま]は中古[ちゅうこ]で買[か]ったんだ;J'ai acheté cette voiture d'occasion.;2558
有能[ゆうのう];彼女[かのじょ]はとても有能[ゆうのう]な部下[ぶか]です;C'est une subordonnée très compétente.;2559
延期[えんき];運動会[うんどうかい]は雨[あめ]で延期[えんき]されました;La compétition sportive a été reportée en raison de la pluie.;2561
広告[こうこく];その広告[こうこく]を新聞[しんぶん]で見[み]ました;J'ai vu cette annonce dans le journal.;2562
題[だい];その曲[きょく]の題[だい]を思[おも]い出[だ]せません;Je ne me souviens plus du titre de la chanson.;2563
進歩[しんぽ];科学技術[かがくぎじゅつ]は目覚[めざ]ましく進歩[しんぽ]しているの;La science et la technologie ont fait des progrès remarquables.;2564
莫大[ばくだい];この計画[けいかく]には莫大[ばくだい]なお金[かね]が必要[ひつよう]です;Ce programme nécessite d'énormes sommes d'argent.;2566
交際[こうさい];彼[かれ]はモデルと交際[こうさい]していたんだ;Il sortait avec un mannequin.;2567
券[けん];入場券[にゅうじょうけん]をお持[も]ちですか;Avez-vous un billet d'entrée?;2571
乗客[じょうきゃく];乗客[じょうきゃく]の一人[ひとり]の具合[ぐあい]が悪[わる]くなったの。;L'état d'un passager s'est aggravé.;2572
章[しょう];この本[ほん]の第六章[だいろくしょう]が特[とく]に好[す]きです;J'aime particulièrement le chapitre 6 de ce livre.;2574
尊重[そんちょう];彼女[かのじょ]の気持[きも]ちを尊重[そんちょう]したい;Je veux respecter ses sentiments;2577
平ら[たいら];その建物[たてもの]の屋根[やね]は平[たい]らだね;Le toit de ce bâtiment est plat.;2579
祝う[いわう];家族[かぞく]で彼[かれ]の合格[ごうかく]を祝[いわ]ったよ;Toute sa famille l'a célébré après avoir réussi l'examen.;2583
大部分[だいぶぶん];絵[え]の大部分[だいぶぶん]が水[みず]に濡[ぬ]れてしまったな;Une grande partie de l'image a été mouillée.;2584
留学[りゅうがく];彼[かれ]は留学[りゅうがく]しただけのことはある。;Son séjour d'études à l'étranger a sans aucun doute été bénéfique.;2586
満ちる[みちる];月[つき]が満[み]ちてきましたね;La lune croît.;2589
労働[ろうどう];彼[かれ]らは1日[にち]7時間[じかん]労働[ろうどう]している;Ils travaillent sept heures par jour.;2591
化学[かがく];彼[かれ]は化学[かがく]の教授[きょうじゅ]です;C'est un professeur de chimie.;2602
図書[としょ];これは児童図書[じどうとしょ]です;Ceci est un livre pour enfants.;2606
お互い[おたがい];お互[たが]いを信頼[しんらい]することが大事[だいじ]です;Il est important de se faire confiance.;2607
贅沢[ぜいたく];彼女[かのじょ]は一生[いっしょう]贅沢[ぜいたく]に暮[く]らしたんだ;Elle a vécu toute sa vie dans le luxe.;2608
沈む[しずむ];ボートが川[かわ]に沈[しず]んだ;Le bateau a coulé dans la rivière.;2609
プラン;彼女[かのじょ]と旅行[りょこう]のプランを考[かんが]えました;J'ai pensé à un plan de voyage avec elle.;2611
粉[こな];その白[しろ]い粉[こな]は赤[あか]ちゃんのミルクです;La poudre blanche est du lait de bébé.;2613
実に[じつに];昨日[さくじつ]のコンサートは実[じつ]に素晴[すば]らしかったよ;Le concert d'hier était en effet merveilleux.;2614
建設[けんせつ];新[あたら]しいビルの建設[けんせつ]が始[はじ]まった;La construction du nouveau bâtiment a commencé.;2615
宗教[しゅうきょう];宗教[しゅうきょう]を持[も]たない人[ひと]もたくさんいるわ;Il y a aussi beaucoup de gens qui n'ont pas de religion.;2616
画家[がか];この絵[え]はスペインの画家[がか]が描[か]きました;Un peintre espagnol a dessiné cette image.;2619
義務[ぎむ];労働[ろうどう]は国民[こくみん]の義務[ぎむ]です;C'est un devoir de citoyen de travailler.;2621
歓迎[かんげい];あたたかい 歓迎[かんげい]を うけました
年月[としつき];あれ から ながい 年月[としつき]が たちました
パーセント;この むら の はちじゅっパーセント は ろうじん です
税金[ぜいきん];これ は 税金[ぜいきん]の むだづかい だ ね
作物[さくもつ];こめ は アジア で は たいせつ な 作物[さくもつ]だ
歩道[ほどう];歩道[ほどう]を あるきましょう
提案[ていあん];今度[こんど]のイベントについて、彼[かれ]がいい 提案[ていあん]をした。
試し[ためし];試[ため]し に この 曲[きょく]を ひいて みて ください
土産[みやげ];土産[みやげ]に 日本酒[にほんしゅ]を もらった
発車[はっしゃ];バス が 発車[はっしゃ]します
主要[しゅよう];IT 産業[さんぎょう]は インド の 主要[しゅよう] 産業[さんぎょう]よ ね
悲劇[ひげき];あの 悲劇[ひげき]を くりかえして は いけない
拡大[かくだい];この 図[ず]を 拡大[かくだい]コピー して ください
投票[とうひょう];わたし は あさ はやく 投票[とうひょう]を すませました
態度[たいど];あの おとこ の 態度[たいど]に みんな あきれて た よ
害[がい];お 酒[さけ]の のみすぎ は 健康[けんこう]に 害[がい]が あります 。
方々[ほうぼう];かれ の 連絡先[れんらくさき]を 方々[ほうぼう]に 問[と]い 合[あ]わせた ん だ
症状[しょうじょう];医者[いしゃ]に 症状[しょうじょう]を 説明[せつめい]した よ
引用[いんよう];論文[ろんぶん]に その 本[ほん]を 引用[いんよう]した の
塔[とう];あの 塔[とう]の 高[たか]さ は どれ くらい です か
テント;みんな で テント を はりました
跡[あと];ここ に タイヤ の 跡[あと]が ある わ
スタンド;あね は スタンド の した で 本[ほん]を 読[よ]んで いた ん だ
訴える[うったえる];かのじょ は 会社[かいしゃ]を 訴[うった]えた
砂漠[さばく];砂漠[さばく]で は ほとんど 雨[あめ]が 降[ふ]らない の よ
食物[しょくもつ];人間[にんげん]に とって 水[みず]は 食物[しょくもつ]より 大切[たいせつ]なの
州[しゅう];来月[らいげつ] となり の 州[しゅう]に 引[ひ]っ 越[こ]します
外交[がいこう];政府[せいふ]は 外交[がいこう]に 力[ちから]を 入[い]れて いる の
大臣[だいじん];大臣[だいじん]が 汚職[おしょく]で 逮捕[たいほ]されました
旧[きゅう];旧[きゅう]ソビエト は いま は ロシア と よばれて いる
劇[げき];小学校[しょうがっこう]で 子供[こども]たち の 劇[げき]を 見[み]ました
ボーイ;ボーイ に 荷物[にもつ]を 運[はこ]んで もらった
騒ぎ[さわぎ];いったい 何[なん]の 騒[さわ]ぎ です か
演説[えんぜつ];かれ は 地方[ちほう]で 演説[えんぜつ]した の よ
欠席[けっせき];かぜ の ため 今日[きょう]は 欠席[けっせき]します
筆[ふで];かれ は 筆[ふで]で 手紙[てがみ]を 書[か]いた の
居眠り[いねむり];かれ は ソファー で 居眠[いねむ]り を して いる よ
贈る[おくる];はは に 花[はな]を 贈[おく]った
軍隊[ぐんたい];かれ は 軍隊[ぐんたい]に 入[はい]った よ
収穫[しゅうかく];おこめ の 収穫[しゅうかく]が はじまった ね
コーチ;あたらしい コーチ の 指導[しどう]は きびしかった
食卓[しょくたく];食卓[しょくたく]に 花[はな]を 飾[かざ]りましょう
承認[しょうにん];これ は 政府[せいふ]の 承認[しょうにん]を うけた 資格[しかく]です
資源[しげん];地球[ちきゅう]の 資源[しげん]を まもりましょう
等しい[ひとしい];わたし は 株[かぶ]の 知識[ちしき]が ない に 等[ひと]しい です
禁煙[きんえん];かれ は いま 禁煙[きんえん]して います
俳優[はいゆう];かれ は 俳優[はいゆう]です
泉[いずみ];もり の なか に きれい な 泉[いずみ]が ある の
住宅[じゅうたく];ここ は しずかな 住宅地[じゅうたくち]だ
国境[こっきょう];あの やま の すぐ ちかく が 国境[こっきょう]です
講演[こうえん];かれ の 講演[こうえん]は 評判[ひょうばん]が いい
測る[はかる];この ドア の 高[たか]さ を 測[はか]って ください
航空[こうくう];かいぎ で 航空[こうくう]の 安全[あんぜん]に ついて 話[はな]し 合[あ]った の
首都[しゅと];東京[とうきょう]は 日本[にほん]の 首都[しゅと]です
骨折[こっせつ];かのじょ は スキー で 足[あし]を 骨折[こっせつ]した の
横切る[よこぎる];め の まえ を ねこ が 横切[よこぎ]った ん だ
```csv
ノック;入[はい]る とき は ドア を ノック して ください
金融[きんゆう];彼[かれ] は 金融[きんゆう] 関係[かんけい] の 会社[かいしゃ] で 働[はたら]いて います
利口[りこう];あの 犬[いぬ] は とても 利口[りこう] です ね
グランド;一般[いっぱん]的[てき]に 言[い]って イングランド の 気候[きこう] は 穏[おだ]やか だ。
入口[いりぐち];入口[いりぐち] の 側[そば] で 立[た]った。
凍る[こおる];寒[さむ]い 朝[あさ] は 道路[どうろ] が 凍[こお]ります
毛布[もうふ];この 毛布[もうふ] は 暖[あたた]かい
供給[きょうきゅう];彼[かれ] の 会社[かいしゃ] は 電力[でんりょく] を 供給[きょうきゅう] して います
常に[つねに];技術[ぎじゅつ]は常[つね]に進歩[しんぽ]している。
ドレス;昨日[きのう] 素敵[すてき] な ドレス を 買[か]いました
競技[きょうぎ];彼[かれ] は 個人[こじん] 競技[きょうぎ] の スポーツ が 好[す]き です
溺れる[おぼれる];彼[かれ]は溺[おぼ]れている子[こ]を助[たす]けたんだ。
下り[くだり];もうすぐ 下[くだ]り の 電車[でんしゃ] が 発車[はっしゃ] します
農業[のうぎょう];私[わたし] は 農業[のうぎょう] を 勉強[べんきょう] して います
永久[えいきゅう];彼[かれ] は 永久[えいきゅう] に 帰[かえ]らぬ 人[ひと] と なった の よ
生ビール[なまビール];暑[あつ]い日[ひ]の生[なま]ビールの味[あじ]はまた格別[かくべつ]だ。
トランプ;友達[ともだち] と トランプ を して 遊[あそ]びました
曜日[ようび];僕[ぼく]たちは日曜日[にちようび]にいつも家[いえ]にいるとは限[かぎ]りません。
衝突[しょうとつ];そこ の 角[かど] で 車[くるま] 同士[どうし] が 衝突[しょうとつ] した の よ
境[さかい];二[ふた]つ の 市[し] の 境[さかい] に 川[かわ] が 流[なが]れて いる の
徹底[てってい];彼[かれ]はやる事[こと]がいつも徹底[てってい]しています
幅[はば];この 道[みち] は 幅[はば] が 狭[せま]い の で 気[き] を 付[つ]けて 運転[うんてん] して ください
頂きます[いただきます];差[さ]し出[で]がましいようですが、私[わたし]から意見[いけん]を述[の]べさせて頂[いただ]きます。
相続[そうぞく];彼[かれ]は莫大[ばくだい]な財産[ざいさん]を相続[そうぞく]するだろう。
小麦[こむぎ];小麦[こむぎ] は 色々[いろいろ] な 食[た]べ物[もの] に 使[つか]われて いる
頬[ほお];彼女[かのじょ] は 頬[ほお] を 赤[あか]く 染[そ]めた わ
スピーチ;彼[かれ] の スピーチ は 素晴[すば]らしかった 。
天候[てんこう];ここ は 天候[てんこう] の 変化[へんか] が 激[はげ]しい です ね
どんなに;彼女[かのじょ] は どんなに 嬉[うれ]しかったろう
狂う[くるう];この 時計[とけい] は すぐ 狂[くる]う の
水準[すいじゅん];この地域[ちいき]はまだ生活[せいかつ]水準[すいじゅん]が低[ひく]い。
泥[どろ];靴[くつ] が 泥[どろ]だらけ に なった よ
予防[よぼう];虫歯[むしば] は 予防[よぼう] できます
腐る[くさる];林檎[りんご] が 腐[くさ]って いる
コピー;この機械[きかい]は一[いち]分間[ふんかん]に１００部[ぶ]のコピーをつくる。
独特[どくとく];彼[かれ] の 服[ふく] の センス は 独特[どくとく] よ ね
埃[ほこり];窓[まど]を開[あ]けると、部屋[へや]に埃[ほこり]が入[はい]る。
知事[ちじ];彼[かれ] は 有能[ゆうのう] な 知事[ちじ] ね
評価[ひょうか];最近[さいきん] 彼[かれ] の 評価[ひょうか] が 上[あ]がった
郵便[ゆうびん];さっき 郵便[ゆうびん] が 届[とど]きました
援助[えんじょ];その 国[くに] に は 物資[ぶっし] の 援助[えんじょ] が 必要[ひつよう] です
オーバー;彼[かれ] の 話[はなし] は いつも オーバー です
ハンサム;トムは若[わか]い時[とき]にハンサムでした。
混雑[こんざつ];今日[きょう] は デパート が 混雑[こんざつ] して いた よ
支給[しきゅう];現金[げんきん]支給[しきゅう]の給料[きゅうりょう]
賞[しょう];この デザイン は 数々[かずかず] の 賞[しょう] を 受[う]けて います
火災[かさい];火災[かさい] の 原因[げんいん] は 放火[ほうか] だ そう です
党[とう];党[とう] の 代表[だいひょう] が 質問[しつもん] に 答[こた]えました
鼠[ねずみ];台所[だいどころ] に 鼠[ねずみ] が 出[で]た
覆う[おおう];雲[くも] が 空[そら] を 覆[おお]って いる ね
離婚[りこん];離婚[りこん]するの？
トンネル;トンネル を 抜[ぬ]ける と 海[うみ] が 見[み]えた よ
デモ;彼女[かのじょ] は デモ に 参加[さんか] した よ
建築[けんちく];彼[かれ]ら は 家[いえ] を 建築[けんちく]中[ちゅう] です
必ずしも[かならずしも];親切[しんせつ] は 必[かなら]ずしも 喜[よろこ]ばれる 訳[わけ] で は ない
積もる[つもる];雪[ゆき] が 積[つ]もって います
酸素[さんそ];私[わたし]たち は 酸素[さんそ] なし で は 生[い]きて いけない
衣服[いふく];彼[かれ] の 会社[かいしゃ] は 衣服[いふく] を 扱[あつか]って いる よ
詩人[しじん];彼[かれ] は 優[すぐ]れた 詩人[しじん] です
パイロット;彼[かれ] は パイロット です
直に[じかに];本人[ほんにん]にじかに聞[き]いてください
救助[きゅうじょ];プール で 男[おとこ] の 子[こ] が 救助[きゅうじょ] されました
芝生[しばふ];芝生[しばふ] が よく 手入[てい]れ されて います ね
革[かわ];革[かわ] の ベルト を 買[か]いました
席を外す[せきをはずす];申[もう]し訳[わけ]ありません。田中[たなか]は今[いま]、席[せき]を外[はず]しております。
睡眠[すいみん];1日[いちにち]7時間[じかん]は睡眠[すいみん]を取[と]るようにしています。
失業[しつぎょう];友達[ともだち] の お父[とう]さん が 突然[とつぜん] 失業[しつぎょう] した の
ブレーキ;赤信号[あかしんごう] で ブレーキ を 踏[ふ]んだ の
兎[うさぎ];兎[うさぎ]を素手[すで]で捕[つか]まえるのは容易[たやす]いことじゃない。
折[おり];私[わたし]たちは時折[ときおり]釣[つ]りに行[い]く。
要点[ようてん];話[はなし] の 要点[ようてん] だけ 教[おし]えて ください
推薦[すいせん];彼[かれ] は 会長[かいちょう] に 推薦[すいせん] された よ
可哀想[かわいそう];お酒[さけ]を付[つ]き合[あ]い程度[ていど]にしか飲[の]まない人[ひと]のこと、なんだか可哀想[かわいそう]だなって思[おも]うんだよね。
省く[はぶく];時間[じかん] が ない の で 詳細[しょうさい] は 省[はぶ]きます
ボート;池[いけ] で ボート に 乗[の]りました
メモ;何[なん]でもかんでもメモをしますがあとで使[つか]い物[もの]になりません。
ベルト;ベルト が きつく なりました
滅多に[めったに];彼女[かのじょ] は 滅多[めった]に 怒[おこ]りません 。 
袖[そで];この シャツ は 袖[そで] が 短[みじか]い
近代[きんだい];近代[きんだい] の 技術[ぎじゅつ] の 発展[はってん] は ものすごい です
誤り[あやまり];回答[かいとう] に 誤[あやま]り が 三[みっ]つ あります よ
攻撃[こうげき];二千三年[にせんさんねん] に アメリカ は イラク を 攻撃[こうげき] した
現す[あらわす];彼[かれ] は ようやく 姿[すがた] を 現[あらわ]しました ね
度々[たびたび];彼[かれ] から 度々[たびたび] メール が きます
```
```csv
登山[とざん];夏休[なつやす]み に は 家族[かぞく] で 登山[とざん] を します
予報[よほう];予報[よほう] で は 明日[あした] は 雨[あめ] です ね
ライター;店[みせ] に ライター を 忘[わす]れました
辛い[つらい];この 仕事[しごと] は 辛[つら]い です
支出[ししゅつ];今月[こんげつ] の 我[わ]が 家[や] の 支出[ししゅつ] は 十五万円[じゅうごまんえん] です
カン;カン は 月曜日[げつようび] に 出[だ]して ください 。
黒板[こくばん];答[こた]え を 黒板[こくばん] に 書[か]いて ください
晩御飯[ばんごはん];晩御飯[ばんごはん]を 何[なに]にしたらいいかわからない。
例え[たとえ];例[たと]え を 挙[あ]げる と 話[はなし] が 分[わ]かり やすく なる
空き[あき];部屋[へや] の 空[あ]き は あります か
道徳[どうとく];子供[こども] に は 道徳[どうとく] を きちんと 教[おし]えて いきたいと 思[おも]います
汚染[おせん];その 川[かわ] の 水[みず] は 汚染[おせん] されて います
マーケット;彼[かれ] は イタリア の マーケット を 開拓[かいたく] しました
暮れ[くれ];暮[く]れ は 用事[ようじ] が 多[おお]くて 忙[いそが]しい です
便り[たより];月[つき] に 一度[いちど] 母[はは] から 便[たよ]り が 来[き]ます
羽根[はね];この ペン は 鳥[とり] の 羽根[はね] で 作[つく]られて います
綿[めん];私[わたし] は 綿[めん] の シャツ を よく 着[き]ます
大使[たいし];彼[かれ] は 昔[むかし] ドイツ の 大使[たいし] でした
専攻[せんこう];大学[だいがく] で は 物理[ぶつり] を 専攻[せんこう] して いました
虫歯[むしば];虫歯[むしば] は 予防[よぼう] できます
正午[しょうご];昼休[ひるやす]み は 正午[しょうご] から です
生[なま];彼[かれ] は 生[なま] の 魚[さかな] が 食[た]べられません
消防[しょうぼう];消防士[しょうぼうし] は 勇敢[ゆうかん] で なけれ ば ならない
診察[しんさつ];今日[きょう] 病院[びょういん] で 診察[しんさつ] して もらった の
節約[せつやく];電気[でんき] や 水[みず] を 節約[せつやく] しましょう
臭い[くさい];納豆[なっとう] は 臭[くさ]い
滞在[たいざい];日本[にっぽん] で は 北海道[ほっかいどう] に 滞在[たいざい] しました
技師[ぎし];彼[かれ] は レントゲン 技師[ぎし] です
勤め[つとめ];来月[らいげつ] で 勤[つと]め を 辞[や]めます
国会[こっかい];国会[こっかい] が 再開[さいかい] した
人込み[ひとごみ];私[わたし] は 人込[ひとご]み が 好[す]き で は ありません
頬[ほほ];彼女[かのじょ] は 真[ま]っ 赤[か] な 頬[ほほ] を している ね 。
愉快[ゆかい];彼[かれ]ら は とても 愉快[ゆかい] な 人達[ひとたち] です
語学[ごがく];海外[かいがい] で 語学[ごがく] の 勉強[べんきょう] を します
インク;プリンター の インク を 買[か]った
免許[めんきょ];やっと 運転免許[うんてんめんきょ] を 手[て] に 入[い]れた よ
パイプ;この パイプ は 詰[つ]まって います よ
岸[きし];船[ふね] が やっと 岸[きし] に 着[つ]いた よ
代える[かえる];社長[しゃちょう] に 代[か]えて 部長[ぶちょう] を 出席[しゅっせき] させます
現れ[あらわれ];それ は 彼女[かのじょ] の 期待[きたい] の 現[あらわ]れ です
仏[ほとけ];仏[ほとけ] の 教[おし]え を 勉強[べんきょう] しました
哲学[てつがく];哲学[てつがく] は 興味深[きょうみぶか]い 学問[がくもん] です
迎え[むかえ];駅[えき] まで 迎[むか]え に 来[き]て ください
清潔[せいけつ];レストラン は 清潔[せいけつ] が 第一[だいいち] です
貸し[かし];彼[かれ] に は 貸[か]し が ある の
吠える[ほえる];どこか で 犬[いぬ] が 吠[ほ]えて います ね
灰[はい];火事[かじ] で すべて 灰[はい] に なった
眺め[ながめ];ここ からの 眺[なが]め は 最高[さいこう] です
博物館[はくぶつかん];昨日[きのう] 車[くるま] の 博物館[はくぶつかん] に 行[い]った
劣る[おとる];私[わたし] は 体力[たいりょく] で は 誰[だれ] に も 劣[おと]りません
床[ゆか];床[ゆか] が 濡[ぬ]れて いる
包み[つつみ];この 包[つつ]み は 誰[だれ] の です か
両替[りょうがえ];一万円[いちまんえん] を 両替[りょうがえ] して ください
可愛らしい[かわいらしい];彼女[かのじょ] は 娘[むすめ] に 可愛[かわい]らしい 服[ふく] を 作[つく]りました ね
価格[かかく];ガソリン の 価格[かかく] が どんどん 上[あ]がって いる
損害[そんがい];町[まち] は 台風[たいふう] で 大[おお]きな 損害[そんがい] を 受[う]けた ん だ
農民[のうみん];中世[ちゅうせい] の 農民[のうみん] は 貧[まず]しかった
就く[つく];今年[ことし] から 新[あたら]しい 仕事[しごと] に 就[つ]きます
```
ウサギ;兎[うさぎ]と 亀[かめ]の 話[はなし]を 知[し]っています か
諺[ことわざ];好[す]きな 諺[ことわざ]は 何[なん]ですか？
がっかり;試験[しけん]の 結果[けっか]が 悪[わる]くて、がっかりした。
スケート;湖[みずうみ]で スケート を した
向い[むかい];トムは 下[した]を 向[む]いて、ゆっくりと 歩[ある]いていた。
ラケット;テニス の ラケット を 買[か]いました
